product_id,brand,brand_slug,url,product_name,harvested_at,method,form,life_stage,ingredients,ingredients_tokens,allergen_groups,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,kcal_per_100g,pack_size,price,price_per_kg,price_bucket,form_confidence,life_stage_confidence,ingredients_confidence,price_confidence,has_jsonld,jsonld_type
alpha_001,Alpha,alpha,https://www.alpha.com/products/1,Alpha Premium Lamb Adult,2025-09-10T20:38:05.104589,scrapingbee_simulation,dry,adult,"salmon, chicken meal, oats, wheat, pumpkin, carrots, flaxseed oil, chondroitin, vitamins","[""salmon"", ""chicken meal"", ""oats"", ""wheat"", ""pumpkin"", ""carrots"", ""flaxseed oil"", ""chondroitin"", ""vitamins""]","[""chicken"", ""fish"", ""grain""]",21.1,10.4,4.5,7.4,10.4,324.0,10kg,37.82,3.78,budget,0.95,0.95,0.98,0.9,,
alpha_002,Alpha,alpha,https://www.alpha.com/products/2,Alpha Sensitive Duck Small Breed,2025-09-10T20:38:05.104636,scrapingbee_simulation,dry,adult,"turkey, salmon, corn, rice, pumpkin, sweet potato, sunflower oil, probiotics, glucosamine","[""turkey"", ""salmon"", ""corn"", ""rice"", ""pumpkin"", ""sweet potato"", ""sunflower oil"", ""probiotics"", ""glucosamine""]","[""chicken"", ""fish"", ""grain""]",,,,,,,2kg,48.68,24.34,premium,0.95,0.95,0.98,0.9,,
alpha_003,Alpha,alpha,https://www.alpha.com/products/3,Alpha Light Salmon Large Breed,2025-09-10T20:38:05.104656,scrapingbee_simulation,dry,all,"turkey, salmon, rice, barley, carrots, sweet potato, flaxseed oil, minerals, chondroitin","[""turkey"", ""salmon"", ""rice"", ""barley"", ""carrots"", ""sweet potato"", ""flaxseed oil"", ""minerals"", ""chondroitin""]","[""chicken"", ""fish"", ""grain""]",28.2,12.5,2.3,8.9,12.0,331.3,10kg,45.89,4.59,budget,0.95,0.95,0.98,0.9,True,Product
alpha_004,Alpha,alpha,https://www.alpha.com/products/4,Alpha Grain-Free Duck Small Breed,2025-09-10T20:38:05.104675,scrapingbee_simulation,dry,puppy,"chicken, turkey, oats, corn, spinach, pumpkin, sunflower oil, vitamins, chondroitin","[""chicken"", ""turkey"", ""oats"", ""corn"", ""spinach"", ""pumpkin"", ""sunflower oil"", ""vitamins"", ""chondroitin""]","[""chicken"", ""grain""]",29.6,12.6,2.6,7.8,9.2,344.4,5kg,53.34,10.67,mid,0.95,0.95,0.98,0.9,,
alpha_005,Alpha,alpha,https://www.alpha.com/products/5,Alpha Sensitive Duck Senior,2025-09-10T20:38:05.104693,scrapingbee_simulation,wet,adult,"lamb meal, salmon, barley, corn, spinach, pumpkin, sunflower oil, minerals, vitamins","[""lamb meal"", ""salmon"", ""barley"", ""corn"", ""spinach"", ""pumpkin"", ""sunflower oil"", ""minerals"", ""vitamins""]","[""lamb"", ""fish"", ""grain""]",,,,,,,10kg,41.17,4.12,budget,0.95,0.95,0.98,0.9,,
alpha_006,Alpha,alpha,https://www.alpha.com/products/6,Alpha Natural Lamb Puppy,2025-09-10T20:38:05.104707,scrapingbee_simulation,wet,adult,"chicken, lamb meal, barley, oats, pumpkin, sweet potato, chicken fat, vitamins, minerals","[""chicken"", ""lamb meal"", ""barley"", ""oats"", ""pumpkin"", ""sweet potato"", ""chicken fat"", ""vitamins"", ""minerals""]","[""chicken"", ""lamb"", ""grain""]",20.1,11.5,5.7,5.8,11.6,326.7,5kg,49.96,9.99,economy,0.95,0.95,0.98,0.9,True,Product
alpha_007,Alpha,alpha,https://www.alpha.com/products/7,Alpha Premium Duck Adult,2025-09-10T20:38:05.104723,scrapingbee_simulation,dry,adult,"chicken meal, chicken, oats, rice, carrots, peas, flaxseed oil, vitamins, minerals","[""chicken meal"", ""chicken"", ""oats"", ""rice"", ""carrots"", ""peas"", ""flaxseed oil"", ""vitamins"", ""minerals""]","[""chicken""]",23.9,9.6,4.3,6.8,11.6,318.6,800g,42.24,52.8,super_premium,0.95,0.95,0.98,0.9,,
alpha_008,Alpha,alpha,https://www.alpha.com/products/8,Alpha Active Lamb Large Breed,2025-09-10T20:38:05.104739,scrapingbee_simulation,dry,adult,"salmon, turkey, rice, wheat, carrots, sweet potato, flaxseed oil, probiotics, glucosamine","[""salmon"", ""turkey"", ""rice"", ""wheat"", ""carrots"", ""sweet potato"", ""flaxseed oil"", ""probiotics"", ""glucosamine""]","[""chicken"", ""fish"", ""grain""]",25.7,11.2,4.5,7.4,9.7,330.4,15kg,50.78,3.39,budget,0.95,0.95,0.98,0.9,,
alpha_009,Alpha,alpha,https://www.alpha.com/products/9,Alpha Active Venison Large Breed,2025-09-10T20:38:05.104753,scrapingbee_simulation,wet,adult,"turkey, chicken, rice, wheat, spinach, peas, salmon oil, minerals, glucosamine","[""turkey"", ""chicken"", ""rice"", ""wheat"", ""spinach"", ""peas"", ""salmon oil"", ""minerals"", ""glucosamine""]","[""chicken"", ""fish"", ""grain""]",29.9,12.3,3.8,6.6,11.0,336.6,400g,42.76,106.9,super_premium,0.95,0.95,0.98,0.9,True,Product
alpha_010,Alpha,alpha,https://www.alpha.com/products/10,Alpha Premium Beef Small Breed,2025-09-10T20:38:05.104768,scrapingbee_simulation,semi-moist,adult,"beef, chicken, oats, wheat, sweet potato, spinach, chicken fat, probiotics, minerals","[""beef"", ""chicken"", ""oats"", ""wheat"", ""sweet potato"", ""spinach"", ""chicken fat"", ""probiotics"", ""minerals""]","[""chicken"", ""beef"", ""grain""]",19.0,14.4,6.0,8.8,11.3,330.6,800g,59.97,74.96,super_premium,0.95,0.95,0.98,0.9,True,Product
alpha_011,Alpha,alpha,https://www.alpha.com/products/11,Alpha Sensitive Beef Large Breed,2025-09-10T20:38:05.104783,scrapingbee_simulation,dry,adult,"beef, turkey, oats, corn, spinach, peas, sunflower oil, vitamins, minerals","[""beef"", ""turkey"", ""oats"", ""corn"", ""spinach"", ""peas"", ""sunflower oil"", ""vitamins"", ""minerals""]","[""chicken"", ""beef"", ""grain""]",31.1,10.8,5.4,5.8,10.0,329.8,15kg,,,,0.95,0.95,0.98,0.0,,
alpha_012,Alpha,alpha,https://www.alpha.com/products/12,Alpha Active Venison Adult,2025-09-10T20:38:05.104798,scrapingbee_simulation,dry,adult,"turkey, salmon, oats, corn, spinach, pumpkin, sunflower oil, glucosamine, chondroitin","[""turkey"", ""salmon"", ""oats"", ""corn"", ""spinach"", ""pumpkin"", ""sunflower oil"", ""glucosamine"", ""chondroitin""]","[""chicken"", ""fish"", ""grain""]",24.2,17.7,3.4,8.6,8.4,367.1,5kg,51.63,10.33,mid,0.95,0.95,0.98,0.9,True,Product
alpha_013,Alpha,alpha,https://www.alpha.com/products/13,Alpha Active Turkey Small Breed,2025-09-10T20:38:05.104813,scrapingbee_simulation,,adult,"turkey, salmon, wheat, rice, spinach, sweet potato, chicken fat, probiotics, glucosamine","[""turkey"", ""salmon"", ""wheat"", ""rice"", ""spinach"", ""sweet potato"", ""chicken fat"", ""probiotics"", ""glucosamine""]","[""chicken"", ""fish"", ""grain""]",19.1,11.5,3.0,5.1,9.8,344.9,5kg,32.41,6.48,economy,0.0,0.95,0.98,0.9,,
alpha_014,Alpha,alpha,https://www.alpha.com/products/14,Alpha Natural Chicken Adult,2025-09-10T20:38:05.104827,scrapingbee_simulation,dry,adult,"salmon, lamb meal, oats, corn, spinach, peas, sunflower oil, chondroitin, vitamins","[""salmon"", ""lamb meal"", ""oats"", ""corn"", ""spinach"", ""peas"", ""sunflower oil"", ""chondroitin"", ""vitamins""]","[""lamb"", ""fish"", ""grain""]",28.2,12.7,2.9,7.0,8.5,349.1,400g,,,,0.95,0.95,0.98,0.0,True,Product
alpha_015,Alpha,alpha,https://www.alpha.com/products/15,Alpha Natural Salmon Puppy,2025-09-10T20:38:05.104841,scrapingbee_simulation,dry,adult,"chicken meal, lamb meal, rice, wheat, sweet potato, pumpkin, chicken fat, minerals, glucosamine","[""chicken meal"", ""lamb meal"", ""rice"", ""wheat"", ""sweet potato"", ""pumpkin"", ""chicken fat"", ""minerals"", ""glucosamine""]","[""chicken"", ""lamb"", ""grain""]",20.2,14.8,5.1,7.1,11.9,339.6,1.5kg,56.64,37.76,premium,0.95,0.95,0.98,0.9,,
alpha_016,Alpha,alpha,https://www.alpha.com/products/16,Alpha Premium Duck Senior,2025-09-10T20:38:05.104856,scrapingbee_simulation,wet,adult,"chicken meal, chicken, wheat, corn, pumpkin, carrots, flaxseed oil, minerals, chondroitin","[""chicken meal"", ""chicken"", ""wheat"", ""corn"", ""pumpkin"", ""carrots"", ""flaxseed oil"", ""minerals"", ""chondroitin""]","[""chicken"", ""grain""]",20.5,9.9,4.5,5.9,8.9,331.9,2kg,47.89,23.95,premium,0.95,0.95,0.98,0.9,,
alpha_017,Alpha,alpha,https://www.alpha.com/products/17,Alpha Active Lamb Small Breed,2025-09-10T20:38:05.104871,scrapingbee_simulation,wet,adult,"salmon, lamb meal, corn, barley, peas, carrots, flaxseed oil, vitamins, chondroitin","[""salmon"", ""lamb meal"", ""corn"", ""barley"", ""peas"", ""carrots"", ""flaxseed oil"", ""vitamins"", ""chondroitin""]","[""lamb"", ""fish"", ""grain""]",,,,,,,12kg,43.73,3.64,budget,0.95,0.95,0.98,0.9,,
