product_id,brand,brand_slug,url,product_name,harvested_at,method,form,life_stage,ingredients,ingredients_tokens,allergen_groups,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,kcal_per_100g,pack_size,price,price_per_kg,price_bucket,form_confidence,life_stage_confidence,ingredients_confidence,price_confidence,has_jsonld,jsonld_type
belcando_001,Belcando,belcando,https://www.belcando.com/products/1,Belcando Premium Lamb Large Breed,2025-09-10T20:38:05.110450,scrapingbee_simulation,dry,puppy,"salmon, chicken meal, corn, wheat, sweet potato, peas, flaxseed oil, glucosamine, minerals","[""salmon"", ""chicken meal"", ""corn"", ""wheat"", ""sweet potato"", ""peas"", ""flaxseed oil"", ""glucosamine"", ""minerals""]","[""chicken"", ""fish"", ""grain""]",28.4,19.5,4.1,8.5,11.7,362.4,2kg,53.95,26.98,premium,0.95,0.95,0.98,0.9,,
belcando_002,Belcando,belcando,https://www.belcando.com/products/2,Belcando Active Venison Senior,2025-09-10T20:38:05.110474,scrapingbee_simulation,wet,all,"lamb meal, chicken, barley, corn, sweet potato, carrots, flaxseed oil, glucosamine, chondroitin","[""lamb meal"", ""chicken"", ""barley"", ""corn"", ""sweet potato"", ""carrots"", ""flaxseed oil"", ""glucosamine"", ""chondroitin""]","[""chicken"", ""lamb"", ""grain""]",23.7,19.5,5.2,6.9,9.8,370.8,400g,58.76,146.9,super_premium,0.95,0.95,0.98,0.9,,
belcando_003,Belcando,belcando,https://www.belcando.com/products/3,Belcando Active Beef Puppy,2025-09-10T20:38:05.110492,scrapingbee_simulation,wet,adult,"lamb meal, chicken meal, corn, wheat, sweet potato, spinach, salmon oil, chondroitin, glucosamine","[""lamb meal"", ""chicken meal"", ""corn"", ""wheat"", ""sweet potato"", ""spinach"", ""salmon oil"", ""chondroitin"", ""glucosamine""]","[""chicken"", ""lamb"", ""fish"", ""grain""]",22.6,16.3,4.2,7.2,8.7,361.2,5kg,57.62,11.52,mid,0.95,0.95,0.98,0.9,,
belcando_004,Belcando,belcando,https://www.belcando.com/products/4,Belcando Sensitive Lamb Adult,2025-09-10T20:38:05.110508,scrapingbee_simulation,wet,puppy,"salmon, chicken, oats, barley, sweet potato, peas, sunflower oil, vitamins, glucosamine","[""salmon"", ""chicken"", ""oats"", ""barley"", ""sweet potato"", ""peas"", ""sunflower oil"", ""vitamins"", ""glucosamine""]","[""chicken"", ""fish"", ""grain""]",27.6,14.7,5.5,8.2,9.7,341.6,15kg,44.16,2.94,budget,0.95,0.95,0.98,0.9,True,Product
belcando_005,Belcando,belcando,https://www.belcando.com/products/5,Belcando Light Venison Senior,2025-09-10T20:38:05.110524,scrapingbee_simulation,wet,all,"lamb meal, chicken, rice, corn, peas, sweet potato, chicken fat, glucosamine, chondroitin","[""lamb meal"", ""chicken"", ""rice"", ""corn"", ""peas"", ""sweet potato"", ""chicken fat"", ""glucosamine"", ""chondroitin""]","[""chicken"", ""lamb"", ""grain""]",28.0,18.8,2.9,6.1,11.4,372.6,12kg,51.19,4.27,budget,0.95,0.95,0.98,0.9,True,Product
belcando_006,Belcando,belcando,https://www.belcando.com/products/6,Belcando Active Lamb Adult,2025-09-10T20:38:05.110540,scrapingbee_simulation,dry,adult,"beef, salmon, wheat, rice, carrots, peas, sunflower oil, vitamins, minerals","[""beef"", ""salmon"", ""wheat"", ""rice"", ""carrots"", ""peas"", ""sunflower oil"", ""vitamins"", ""minerals""]","[""beef"", ""fish"", ""grain""]",20.0,14.5,5.5,7.5,10.8,339.2,1.5kg,59.04,39.36,premium,0.95,0.95,0.98,0.9,True,Product
belcando_007,Belcando,belcando,https://www.belcando.com/products/7,Belcando Active Duck Senior,2025-09-10T20:38:05.110555,scrapingbee_simulation,dry,adult,"chicken meal, chicken, rice, wheat, peas, spinach, sunflower oil, vitamins, chondroitin","[""chicken meal"", ""chicken"", ""rice"", ""wheat"", ""peas"", ""spinach"", ""sunflower oil"", ""vitamins"", ""chondroitin""]","[""chicken"", ""grain""]",22.5,16.6,5.2,5.3,11.7,355.3,1.5kg,33.75,22.5,premium,0.95,0.95,0.98,0.9,True,Product
belcando_008,Belcando,belcando,https://www.belcando.com/products/8,Belcando High-Protein Lamb Puppy,2025-09-10T20:38:05.110570,scrapingbee_simulation,,adult,"chicken, beef, corn, barley, spinach, carrots, salmon oil, vitamins, chondroitin","[""chicken"", ""beef"", ""corn"", ""barley"", ""spinach"", ""carrots"", ""salmon oil"", ""vitamins"", ""chondroitin""]","[""chicken"", ""beef"", ""fish"", ""grain""]",25.4,15.4,2.6,8.7,9.6,353.8,5kg,45.35,9.07,economy,0.0,0.95,0.98,0.9,True,Product
belcando_009,Belcando,belcando,https://www.belcando.com/products/9,Belcando Sensitive Turkey Puppy,2025-09-10T20:38:05.110585,scrapingbee_simulation,wet,puppy,"chicken meal, turkey, corn, oats, peas, sweet potato, salmon oil, glucosamine, chondroitin","[""chicken meal"", ""turkey"", ""corn"", ""oats"", ""peas"", ""sweet potato"", ""salmon oil"", ""glucosamine"", ""chondroitin""]","[""chicken"", ""fish"", ""grain""]",21.2,15.8,5.3,5.8,10.8,352.4,15kg,,,,0.95,0.95,0.98,0.0,True,Product
belcando_010,Belcando,belcando,https://www.belcando.com/products/10,Belcando High-Protein Salmon Adult,2025-09-10T20:38:05.110599,scrapingbee_simulation,wet,adult,"beef, chicken, rice, oats, peas, sweet potato, flaxseed oil, probiotics, chondroitin","[""beef"", ""chicken"", ""rice"", ""oats"", ""peas"", ""sweet potato"", ""flaxseed oil"", ""probiotics"", ""chondroitin""]","[""chicken"", ""beef""]",22.4,14.2,2.4,8.0,11.1,345.7,800g,37.29,46.61,super_premium,0.95,0.95,0.98,0.9,,
belcando_011,Belcando,belcando,https://www.belcando.com/products/11,Belcando Sensitive Turkey Senior,2025-09-10T20:38:05.110615,scrapingbee_simulation,wet,puppy,"lamb meal, beef, wheat, rice, spinach, carrots, salmon oil, minerals, chondroitin","[""lamb meal"", ""beef"", ""wheat"", ""rice"", ""spinach"", ""carrots"", ""salmon oil"", ""minerals"", ""chondroitin""]","[""beef"", ""lamb"", ""fish"", ""grain""]",26.7,18.3,5.0,8.9,11.1,354.0,1.5kg,45.68,30.45,premium,0.95,0.95,0.98,0.9,True,Product
