brand_raw,brand_slug,product_name_raw,product_name_norm,url,image_url,form_guess,life_stage_guess,ingredients_raw,ingredients_language,kcal_per_100g,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,pack_sizes,gtin,source,ingested_at,row_hash,product_key_candidate
Forthglade,Forthglade,complete meal with brown rice adult,complete meal with brown rice,https://www.allaboutdogfood.co.uk/dog-food-reviews/0535/forthglade-complete-meal-with-brown-rice-adult,,wet,adult,"Chicken (75%), Brown Rice (4%), Carrots (2%), Peas (2%), Minerals, Linseed Oil (0.5%), Dried Seaweed (0.45%), Herbs (Camomile, Parsley, Rosemary, Nettle) (0.12%), Glucosamine (50mg/kg), Chondroitin (50mg/kg), Chicory Root Extract (as a Source of Prebiotic Fructo-Oligosaccharide (0.05%), Yucca Extract (0.005%).",en,,,,,,,,,aadf,2025-09-12T08:53:18.439150,d4630dbed3c8593094978abbacd5effc,8f27e8c6238025e3
Ava,Ava,breed health pug dry,breed health pug,https://www.allaboutdogfood.co.uk/dog-food-reviews/1847/ava-breed-health-pug-dry,,wet,unknown,"Fish Meal (20.5%), White Fish (19.0%), Potato (17.3%), Sweet Potato (15.6%), Salmon Oil (7.7%), Beet Pulp (7.0%), Cellulose (2.6%), Brewers Yeast, Salmon Stock (2.2%), Peas, Sunflower Oil, Minerals, Egg, Chicory Inulin (a Source of Prebiotic Fructooligosaccharides (2, 000mg/kg), Yeasts(1375mg/kg), Glucosamine (700mg/kg), Chondroitin Sulphate (500mg/kg), Mint (440mg/kg), Yucca Schidigera Extract (250mg/kg), Cranberry Extract (180mg/kg), Pomegranate Extract (90mg/kg), Green Tea Extract (90mg/kg).",en,,,,,,,,,aadf,2025-09-12T08:53:18.439378,1ade73fc0907796ee4c6a87dfd3e23cf,8ff67ef806780c63
Fish4Dogs,Fish4Dogs,finest complete,finest complete,https://www.allaboutdogfood.co.uk/dog-food-reviews/0086/fish4dogs-finest-complete,,dry,unknown,"Ocean White Fish (27%), Potato (23%), Pea Flour (21%), Salmon Meal (12%), Salmon Oil (8.7%), Beet Pulp, Brewers Yeast, Sunflower Oil, Minerals.",en,,,,,,,,,aadf,2025-09-12T08:53:18.439510,4ed6afc85dc01b4c7f6fca0f0c6b50ae,56856b7796126b87
Paleo,Paleo,ridge classic,ridge classic,https://www.allaboutdogfood.co.uk/dog-food-reviews/1936/paleo-ridge-classic,,unknown,unknown,"60% Beef Tripe, 30% Organic Chicken Meat with Bone, 5% Beef Liver, 5% Beef Kidney.",en,,,,,,,,,aadf,2025-09-12T08:53:18.439609,a1a9c66ae3886822877e70c2d9903bc5,8307938e611f00fd
Nutribalance,Nutribalance,large breed adult,,https://www.allaboutdogfood.co.uk/dog-food-reviews/4152/nutribalance-large-breed-adult,,wet,adult,"Whole Barley, Chicken Meal (18%), Whole Maize, Rice, Poultry Oil (6.5%), Turkey Meal (4%), Sugar Beet Pellets (3%), Turkey Digest (2%), Salmon Oil (1%), Chicory Root Extract (0.2%), Mannan Oligosaccharides (0.1%), Glucosamine (0.027%), MSM (0.027%), Chondroitin (0.019%).",en,,,,,,,,,aadf,2025-09-12T08:53:18.439703,2f3c82dde401bfff63b87094357f4204,f336b1868f6da199
Nutro,Nutro,grain free adult,grain free,https://www.allaboutdogfood.co.uk/dog-food-reviews/2106/nutro-grain-free-adult,,dry,adult,"Chicken (25%), Dried Chicken Protein, Fresh Chicken (4%), Pea Starch, Pea Protein, Poultry Fat, Dried Poultry Protein (Turkey, Goose, Duck), Beef Greaves Protein, Dried Beet Pulp, Tapioca Starch, Turkey Liver Digest, Minerals, Sunflower Oil, Chicory Extract, Rosemary Extract.",en,,,,,,,,,aadf,2025-09-12T08:53:18.439813,976d6657b1ca451398b929d0199743f0,714587cffe583941
Eukanuba,Eukanuba,daily care sensitive skin,daily care sensitive skin,https://www.allaboutdogfood.co.uk/dog-food-reviews/0412/eukanuba-daily-care-sensitive-skin,,dry,unknown,"Maize, Fish Meal (21%), Animal Fat (from Chicken and Pork), Dried Whole Egg, Dried Beet Pulp (3.3%), Hydrolysed Fish Proteins, Brewer's Dried Yeast, Fructooligosaccharides (0.52%), Dicalcium Phosphate, Sodium Chloride, Potassium Chloride, Sodium Hexametaphosphate, Calcium Carbonate.",en,,,,,,,,,aadf,2025-09-12T08:53:18.439907,f5ef1b1184e3728e10262953c60eaf98,4a8e58851e80fe87
Icepaw,Icepaw,sport pure 30 20,sport pure 30 20,https://www.allaboutdogfood.co.uk/dog-food-reviews/1713/icepaw-sport-pure-30-20,,wet,unknown,"Fish Flour (Herring) 35%, Rice 31%, Rice Flour 4%, Poultry Fat, Salmon Oil 4%, Dried Beet Pulp, Linseed Oil 0.2%, Rosemary Extract 0.01%, Glucosamine-Hcl 0.01%, Yucca Schidigera 0.02%.",en,,,,,,,,,aadf,2025-09-12T08:53:18.440024,4c2a944c0419ecb8e2b7076acb903351,3f3e8b1cd8c25da5
Royal Canin,Royal Canin,golden retriever puppy,golden retriever,https://www.allaboutdogfood.co.uk/dog-food-reviews/2739/royal-canin-golden-retriever-puppy,,wet,puppy,"Dehydrated Poultry Protein, Rice, Maize, Vegetable Protein Isolate, Wheat, Animal Fats, Vegetable Fibres, Hydrolysed Animal Proteins, Beet Pulp, Fish Oil, Minerals, Soya Oil, Fructo-Oligo-Saccharides (0.34%), Psyllium Husks and Seeds, Hydrolysed Yeast, Hydrolysed Crustaceans, Borage Oil (0.1%), Yeasts Extracts, Marigold Extract, Hydrolysed Cartilage.",en,,,,,,,,,aadf,2025-09-12T08:53:18.440164,69ce8de9f837952874939d4acd8140dc,95db56a7b1cd82de
Scrumbles,Scrumbles,adult and senior turkey,and,https://www.allaboutdogfood.co.uk/dog-food-reviews/4162/scrumbles-adult-and-senior-turkey,,wet,senior,"50% Turkey (26% Freshly Prepared Turkey, 20% Dehydrated Turkey, 4% Turkey Fat), Sweet Potato, Peas, Beet Pulp, Vegetable Digest, 1% Whole Linseed, Vitamins and Minerals, 01% Chicory, 0.02% Extract of Yucca Schidigera, 0.02% Glucosamine, 0.015% Chondroitin, Dried Spearmint.",en,,,,,,,,,aadf,2025-09-12T08:53:18.440316,60d039652692b07f4f48330c87a6d397,5dea0a40c9ce1f86
CSJ,CSJ,thatll do  hi lost,thatll do hi lost,https://www.allaboutdogfood.co.uk/dog-food-reviews/0248/csj-thatll-do--hi-lost,,dry,unknown,"Chicken Meal (18%), Wheat, Maize, Chicken Fat, Chicken Liver (3%), Rice, Unmolassed Beet Pulp, Wheatfeed, Prairie Meal, Alfalfa, Oats, Salmon Oil, Yeast, Yucca Schidigera.",en,,,,,,,,,aadf,2025-09-12T08:53:18.440452,8175ad0504205b644235a56b4c61afb9,e20087191b72437e
Essential,Essential,superior living,superior living,https://www.allaboutdogfood.co.uk/dog-food-reviews/1329/essential-superior-living,,dry,adult,"Fresh Chicken and Duck (33%), Dried Chicken and Duck (30%), Sweet Potato, Peas, Fresh Salmon and Trout (7%), Linseed, Fresh Whole Egg (5%), Chicken Fat (5%), Potato, Chicken Gravy (3%), Lucerne Sprout, Vitamins, Minerals, MOS (Mannan Oligosaccarides), FOS(Fructooligosaccharides), Glucosamine, Chondroitin, MSM (Metylsulfonylmetan) Cranberry, Acai, Blueberry, Mulberry, Apple, Tomato, Orange, Pear, Carrot, Spinach, Cauliflower, Seaweed, Marigold, Ginseng, Green Tea, Ginger.",en,,,,,,,,,aadf,2025-09-12T08:53:18.440559,428ad6bba03e46fd7833b6ee61b73af4,62c8ec3e30c04f3b
Feelwells,Feelwells,grain free puppy,grain free,https://www.allaboutdogfood.co.uk/dog-food-reviews/1432/feelwells-grain-free-puppy,,dry,puppy,"Chicken Turkey & Salmon 60% (Freshly Prepared Chicken 20%, Dried Chicken 14%, Freshly Prepared Turkey 7%, Freshly Prepared
Salmon 7%, Dried Turkey 7%, Dried Salmon 3%, Chicken Stock 2%), Sweet Potato (22%), Potato, Linseed, Omega 3 Supplement, Beet Pulp, Minerals, Vitamins, Carrot (0.2%), Peas (0.07%), Glucosamine (170 mg/kg), Methylsulfonylmethane (170 mg/kg), Chondroitin Sulphate (125 mg/ Kg), Vegetable Stock, Nucleotides, FOS (96 mg/kg), MOS (24 mg/kg).",en,,,,,,,,,aadf,2025-09-12T08:53:18.440680,49825a63e0d8b4c9bab25b6a4a187083,8ed562813dd4754b
Southend Dog,Southend Dog,cold pressed,cold pressed,https://www.allaboutdogfood.co.uk/dog-food-reviews/3694/southend-dog-cold-pressed,,wet,unknown,"Dried Ground Chicken 27%, Sweet Potato, Potato, Chicken Fat, Hydrolysed Chicken, Dried Apples, Dried Kale, Chicory Fibre, Seaweed, Spirulina, Green Mussel Powder 1%, Mannan-Oligosaccharides, Glucosamine, Chondroitin Sulphate.",en,,,,,,,,,aadf,2025-09-12T08:53:18.440781,b12f7eebdd50f226861521612ed4b7a8,a7a079bff8446db8
Country Pursuit,Country Pursuit,muesli moist mix,muesli moist mix,https://www.allaboutdogfood.co.uk/dog-food-reviews/1860/country-pursuit-muesli-moist-mix,,dry,unknown,"Cereals, Meat and Animal Derivatives (minimum 4% Meat Chunks), Vegetables, Fats and Oils, Antioxidants, Preservatives.",en,,,,,,,,,aadf,2025-09-12T08:53:18.440870,72c2964bbd7944b091e1dc69014a2df7,dc9713b28ac2d985
Salters,Salters,puppy,,https://www.allaboutdogfood.co.uk/dog-food-reviews/0202/salters-puppy,,wet,puppy,"Chicken Meat Meal, Spray Dried Chicken Meal, Ground Maize, Round Grain Rice, Chicken Fat, Maize Gluten Meal, Dried Whole Egg, Dried Sugar Beet Pulp, Cellulose Fibre, Full Fat Linseed, Sunflower Meal, Extra Virgin Olive Oil, Yeast (Autolyzed), Natural Seaweed, Vitamins and Minerals.",en,,,,,,,,,aadf,2025-09-12T08:53:18.440972,2856c53dba60a88eb10eb01439ffb430,7bd3b78b4eae2430
Noochy Poochy,Noochy Poochy,adult,,https://www.allaboutdogfood.co.uk/dog-food-reviews/4132/noochy-poochy-adult,,dry,adult,"Soybeans, Chickpeas, Pea Protein Concentrate, Naked Oats, Sweet Potato, Organic Rice Protein Concentrate, Lentils, Sweet LupinS, Organic Brown Rice, Rapeseed Oil, Nutritional Yeast (3%), Linseed, Dried Tomato, Dried Carrot, Olive Oil, Mixed Herbs 0.5% (Basil, Marjoram, Oregano, Thyme), Dried Chicory, Yeast Products, Beta Glucans.",en,,,,,,,,,aadf,2025-09-12T08:53:18.441069,4e4728649badb3c3b87a03072055dcba,731fc1cfb61c2e7b
Husse,Husse,prima plus,prima plus,https://www.allaboutdogfood.co.uk/dog-food-reviews/0800/husse-prima-plus,,wet,adult,"Chicken Meal 15%, Wheat, Wheat Meal, Maize, Rice Flour, Rice, Pork Fat, Vegetable Fibres, Linseed, Hydrolysed Animal Protein, Salmon, Salmon Oil, Yeast, Salt, Fructo-Oligosaccharides (0.3%), Dried Whole Eggs, Potassium Chloride, Lecithin (0.1%), Sea Algae, Tagetes.",en,,,,,,,,,aadf,2025-09-12T08:53:18.441206,9319082ccdfb4ce77135d4fb78f3d1ac,1a7dfba5578b56fe
Calibra Expert,Calibra Expert,nutrition mobility,nutrition mobility,https://www.allaboutdogfood.co.uk/dog-food-reviews/3222/calibra-expert-nutrition-mobility,,dry,adult,"Chicken Protein (45%), Rice (20%), Brewers Rice (10%), Poultry Fat (8%, Preserved with Tocopherols), Apple Pulp Dried (5%), Hydrolyzed Poultry Protein (4%), Yeasts, Hydrolyzed Chicken Liver (2%), Salmon Oil (2%), Fulvic Acid (0.2%), Glucosamine (1000 mg/kg), ChondroitinE Sulphate (650 mg/kg), Prebiotics (Mannan-Oligosaccharides 120 mg/kg, B-Glucans 100 mg/kg, Fructo Oligosaccharides 70 mg/kg), Dried Rosemary &Amp; Thyme (200 mg/kg), Methyl Sulphonyl Methane (150 mg/kg), Boswellia Serrata (90 mg/kg), Mojave Yucca (80 mg/kg), Lactobacillus Acidophilus Ha 122 Inactivated (15 109 Cells/kg).",en,,,,,,,,,aadf,2025-09-12T08:53:18.441321,00036c5b15b8f91d6f9b1deb7a1b6422,ebe1546fdf858234
Alpha Spirit,Alpha Spirit,mediterranean diet wet sausage multiprotein,mediterranean diet sausage multiprotein,https://www.allaboutdogfood.co.uk/dog-food-reviews/4364/alpha-spirit-mediterranean-diet-wet-sausage-multiprotein,,raw,senior,"93% Fresh Meat (54% Pork, 39% Chicken), 5% Vegetables, Natural Spices.",en,,,,,,,,,aadf,2025-09-12T08:53:18.441426,fece9c45f941cc95420582bb1577539f,53b4d59f1e5cf7f8
Rocco,Rocco,junior,,https://www.allaboutdogfood.co.uk/dog-food-reviews/0483/rocco-junior,,wet,puppy,"30% Turkey (Heart, Meat, Liver, Gizzards, Necks), 28.8% Stock, 20% Veal Hearts, 15% Poultry (Meat, Liver, Gizzards, Necks), 5% Rice, 1% Minerals, 0.2% Salmon Oil.",en,,,,,,,,,aadf,2025-09-12T08:53:18.441560,afa18fc630d32a76edf52f123a413308,1e8180739ba4c882
Cooper,Cooper,and co grain free adult,and co grain free,https://www.allaboutdogfood.co.uk/dog-food-reviews/3381/cooper-and-co-grain-free-adult,,wet,puppy,"50.5% Turkey (Freshly Prepared Turkey 27.5%, Dried Turkey 17%, Turkey Fat 4.5%, Turkey Gravy 1.5%), Sweet Potato (25%), Lentils, Pea Protein, Beet Pulp, Salmon Oil (1%), Brewers Yeast, Minerals, Dried Carrot, Chondroitin Sulphate (0.04%), Glucosamine (0.04%), Fructo-Oligosaccharides, Mannan-Oligosaccharides.",en,,,4.5,,,,,,aadf,2025-09-12T08:53:18.441641,e7e02ffda0cc484d76778babbeb612f3,cd610c1843e19bc8
Wainwrights,Wainwrights,mature,mature,https://www.allaboutdogfood.co.uk/dog-food-reviews/0474/wainwrights-trays-mature,,wet,senior,"Turkey (min.65%), Turkey Liver (min.5%), Brown Rice (min. 5%), Minerals, Seaweed, Chicory Root, Glucosamine, Chondroitin.",en,,,,,,,,,aadf,2025-09-12T08:53:18.441728,a0e2cf030a941a8e7264edbd5452b266,b8bf050922f94697
Wainwrights,Wainwrights,dry adult food,,https://www.allaboutdogfood.co.uk/dog-food-reviews/2840/wainwrights-sensitive-dry-adult-food,,wet,adult,"White Fish 55% (Freshly Prepared White Fish 30%, White Fish Meal 22%, White Fish Stock 3%), Dried Sweet Potato (26%), Fish Oil (8%), Beet Pulp, Minerals, Krill Meal (0.9%), Dried Seaweed (0.1%), Chicory Root Extract (0.05%), Green Lipped Mussels (0.05%), Yucca Extract (0.01%)",en,,,,,,,,,aadf,2025-09-12T08:53:18.441814,9f349b1886927419592b581ecf19318c,baf54abdf2ffb83a
Ci,Ci,tickety boo senior,tickety boo,https://www.allaboutdogfood.co.uk/dog-food-reviews/1650/ci-tickety-boo-senior,,wet,senior,"Trout & Salmon 50% (Freshly Prepared Trout 30%, Dried Salmon 11%, Freshly Prepared Salmon 4%, Salmon Oil 3%, Salmon Stock 2%), Sweet Potato (24%), Potato, Peas (6%), Beet Pulp, Pea Protein, Linseed, Potato Protein, Minerals, Vitamins, Vegetable Stock, Asparagus (0.3%), Glucosamine (170 mg/kg), Methylsulfonylmethane (170 mg/kg), Chondroitin Sulphate (125 mg/kg), FOS (96 mg/kg), MOS (24 mg/kg)",en,,,,,,,,,aadf,2025-09-12T08:53:18.441929,5fb9359e02359a868b88f886c362ddec,d397ddc2c9c6755e
Josera,Josera,youngstar,youngstar,https://www.allaboutdogfood.co.uk/dog-food-reviews/2049/josera-youngstar,,wet,puppy,"Dried Potato 44.0%, Dried Poultry Protein 28.0%, Poultry Fat, Plant Fibre, Carob Meal, Hydrolysed Poultry Protein, Potato Protein, Yeast, Hydrolysed Vegetable Protein, Minerals, Ground Chicory Root, Dried New Zealand Greenlipped Mussel Meat (Perna Canaliculus).",en,,28.0,,,,,,,aadf,2025-09-12T08:53:18.442007,fd261db4bb4f47e2cc909bdcdb12fcbb,b7d5f713aa5908fb
Ava,Ava,breed health cockapoo dry,breed health cockapoo,https://www.allaboutdogfood.co.uk/dog-food-reviews/2964/ava-breed-health-cockapoo-dry,,wet,puppy,"Chicken 39.3% (Chicken Meal 20.5%, Chicken 18.8%), Potato (17.1%), Sweet Potato (17.1%), Beet Pulp (6.2%), Chicken Fat (5.5%), Peas, Chicken Gravy (2.1%), Salmon Oil, Brewers Yeast, Minerals, Egg, Pea Protein, Chicory Inulin (0.2%), Yeasts (0.14%), Glucosamine (0.05%), Valerian Root, Skullcap, Chamomile (0.04%), Dandelion Root, Carrots, Broccoli, Chondroitin Sulphate (0.04%), Yucca Extract (0.025%), Cranberry Extract (0.018%), Pomegranate Extract (0.009%), Green Tea Extract (0.009%).",en,,,,,,,,,aadf,2025-09-12T08:53:18.442155,81d901a08574db62eb13153c8262bf9a,70acfca62fd8b0be
Beta,Beta,puppy large breed,,https://www.allaboutdogfood.co.uk/dog-food-reviews/0255/beta-puppy-large-breed,,dry,puppy,"Turkey Meal (25%), Wheat, Corn, Soya Meal, Poultry Fat, Wheat Middling, Dried Beet Pulp, Corn Gluten, Digest, Dried Chicory Root (1%), Fish Oil, Minerals, Dried Carrot (0.07%), Dried Spinach (0.07%), Dried Parsley (0.07%), Natural Antioxidants.",en,,,,,,,,,aadf,2025-09-12T08:53:18.442245,79e499f2c1dc81a9b64f83d05f7b0870,0c967a5cedd4ffe0
Wainwrights,Wainwrights,adult salmon and potato,and potato,https://www.allaboutdogfood.co.uk/dog-food-reviews/1037/wainwrights-trays-adult-salmon-and-potato,,wet,adult,"Salmon (76%), Potato Powder (4%), Minerals, Dried Seaweed (0.46%), Chicory Root Powder (0.06%), Yucca Extract (0.005%).",en,,,,,,,,,aadf,2025-09-12T08:53:18.442371,62d79edf3cb274980fc33348d5172ebc,2871a67e753880ff
Country Dog,Country Dog,classic adult 1,classic 1,https://www.allaboutdogfood.co.uk/dog-food-reviews/2552/country-dog-classic-adult-1,,dry,adult,"Chicken 31% (Chicken Meal 25%, Freshly Prepared Chicken 6%), Maize (30%), Barley, Rice (16.5%), Chicken Fat, Flaxseed (2.5%), Chicken Gravy, Minerals, Prebiotic Mannan Oligosaccharides (0.08%), Yucca Extract (0.01%).",en,,,,,,,,,aadf,2025-09-12T08:53:18.442525,426ed7fb221b1d1ba312b4d4e76e886c,427500bedd84cc7c
Pets at Home,Pets at Home,complete nutrition mature dry,complete nutrition mature,https://www.allaboutdogfood.co.uk/dog-food-reviews/4218/pets-at-home-complete-nutrition-mature-dry,,wet,senior,"Cereals, Meat and Animal Derivatives (Including Chicken 14%, Chondroitin 0.025%), Derivatives of Vegetable Origin (Including Chicory Extract 0.1%), Vegetables (Including Peas 5%), Minerals, Oils and Fats, Fish and Fish Derivatives, Yeasts, Molluscs and Crustaceans (Glucosamine 0.05%).",en,,,,,,,,,aadf,2025-09-12T08:53:18.442645,ffc5eae8fd5a3a69d6cafbb0dd010d97,c8bb0b30ae48785d
Wildways,Wildways,adult dry,,https://www.allaboutdogfood.co.uk/dog-food-reviews/3991/wildways-adult-dry,,wet,adult,"Fresh Duck (40%), Chicken Protein (26%), Peas (14%), Poultry Fat (5%), Chickpeas (4%), Pumpkin (4%), Chicken Liver (2%), Dried Apple Pulp (2%), Salmon Oil (1%), Eggs Shells (1%), Pea Flour, Glucosamine (0.026%), Chondroitin Sulphate (0.018%), Mannan Oligosaccharides (0.015%), Inulin (Fructo Oligosaccharides 0.01%), Yucca Mojave (0.01%), Dried Milk Thistle (0.01%), Dried Rosemary (0.003%), Dried Curcuma (0.003%).",en,,,,,,,,,aadf,2025-09-12T08:53:18.442726,c9829e56ac11ecee3eebe166eab7dfae,324ba49edde6c38e
Pro Plan,Pro Plan,all size adult light  sterilised optiweight,all size light sterilised optiweight,https://www.allaboutdogfood.co.uk/dog-food-reviews/0154/pro-plan-all-size-adult-light--sterilised-optiweight,,wet,adult,"Chicken (15%), Wheat, Dehydrated Poultry Protein, Maize, Rice (9%), Dried Beet Pulp, Soya Meal, Digest, Maize Gluten Meal, Maize Grits, Wheat Gluten Meal, Minerals, Fish Oil, Animal Fat, Antioxidants.",en,,,,,,,,,aadf,2025-09-12T08:53:18.442851,c485f2f1a8c8d8e8f03a07318f9d0c3a,af0dc9e4447d314d
Wainwrights,Wainwrights,grain free mature,grain free mature,https://www.allaboutdogfood.co.uk/dog-food-reviews/1036/wainwrights-dry-grain-free-mature,,wet,senior,"Turkey 33% (Turkey Meal 24.5%, Freshly Prepared Turkey 5%, Turkey Fat 3.5%), Sweet Potato (33%), Potato, Peas (5%), Beet Pulp (4%), Potato Protein, Minerals, Linseed (2%), Dried Carrot (0.5%), Seaweed Meal (0.5%), Chicory Root Extract (0.1%), Dried Broccoli (0.05%), Dried Rosehip, Dried Parsley, Dried Thyme, Yucca Extract (0.02%), Glucosamine (0.02%), Chondroitin (0.015%), Dried Spearmint.",en,,,3.5,,,,,,aadf,2025-09-12T08:53:18.442952,8919807fbf638c795956650f84ed979b,aa85c5c10d44c010
