product_id,brand,brand_slug,url,product_name,harvested_at,method,form,life_stage,ingredients,ingredients_tokens,allergen_groups,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,kcal_per_100g,pack_size,price,price_per_kg,price_bucket,form_confidence,life_stage_confidence,ingredients_confidence,price_confidence,has_jsonld,jsonld_type
brit_001,Brit,brit,https://www.brit.com/products/1,Brit High-Protein Duck Puppy,2025-09-10T20:38:05.098323,scrapingbee_simulation,wet,adult,"chicken, salmon, rice, corn, pumpkin, spinach, salmon oil, probiotics, chondroitin","[""chicken"", ""salmon"", ""rice"", ""corn"", ""pumpkin"", ""spinach"", ""salmon oil"", ""probiotics"", ""chondroitin""]","[""chicken"", ""fish"", ""grain""]",23.2,19.4,5.7,8.7,10.7,359.1,15kg,25.88,1.73,budget,0.95,0.95,0.98,0.9,,
brit_002,Brit,brit,https://www.brit.com/products/2,Brit Premium Turkey Small Breed,2025-09-10T20:38:05.098491,scrapingbee_simulation,dry,senior,"turkey, chicken, wheat, barley, spinach, pumpkin, salmon oil, chondroitin, glucosamine","[""turkey"", ""chicken"", ""wheat"", ""barley"", ""spinach"", ""pumpkin"", ""salmon oil"", ""chondroitin"", ""glucosamine""]","[""chicken"", ""fish"", ""grain""]",,,,,,,800g,39.79,49.74,super_premium,0.95,0.95,0.98,0.9,,
brit_003,Brit,brit,https://www.brit.com/products/3,Brit Light Chicken Senior,2025-09-10T20:38:05.098520,scrapingbee_simulation,dry,senior,"salmon, lamb meal, wheat, rice, spinach, sweet potato, salmon oil, probiotics, vitamins","[""salmon"", ""lamb meal"", ""wheat"", ""rice"", ""spinach"", ""sweet potato"", ""salmon oil"", ""probiotics"", ""vitamins""]","[""lamb"", ""fish"", ""grain""]",,,,,,,5kg,23.75,4.75,budget,0.95,0.95,0.98,0.9,True,Product
brit_004,Brit,brit,https://www.brit.com/products/4,Brit High-Protein Turkey Large Breed,2025-09-10T20:38:05.098540,scrapingbee_simulation,dry,adult,"chicken, lamb meal, wheat, rice, sweet potato, peas, chicken fat, glucosamine, minerals","[""chicken"", ""lamb meal"", ""wheat"", ""rice"", ""sweet potato"", ""peas"", ""chicken fat"", ""glucosamine"", ""minerals""]","[""chicken"", ""lamb"", ""grain""]",29.6,16.2,4.1,5.8,10.7,358.9,10kg,39.8,3.98,budget,0.95,0.95,0.98,0.9,True,Product
brit_005,Brit,brit,https://www.brit.com/products/5,Brit Natural Venison Puppy,2025-09-10T20:38:05.098561,scrapingbee_simulation,wet,adult,"chicken, lamb meal, oats, rice, peas, spinach, flaxseed oil, minerals, chondroitin","[""chicken"", ""lamb meal"", ""oats"", ""rice"", ""peas"", ""spinach"", ""flaxseed oil"", ""minerals"", ""chondroitin""]","[""chicken"", ""lamb""]",24.4,18.0,3.1,6.2,9.8,373.1,2kg,28.71,14.36,mid,0.95,0.95,0.98,0.9,True,Product
brit_006,Brit,brit,https://www.brit.com/products/6,Brit Active Duck Puppy,2025-09-10T20:38:05.098580,scrapingbee_simulation,wet,adult,"lamb meal, beef, oats, corn, pumpkin, peas, sunflower oil, chondroitin, probiotics","[""lamb meal"", ""beef"", ""oats"", ""corn"", ""pumpkin"", ""peas"", ""sunflower oil"", ""chondroitin"", ""probiotics""]","[""beef"", ""lamb"", ""grain""]",23.9,16.8,5.5,5.1,9.7,362.9,2kg,33.72,16.86,mid,0.95,0.95,0.98,0.9,True,Product
brit_007,Brit,brit,https://www.brit.com/products/7,Brit High-Protein Turkey Senior,2025-09-10T20:38:05.098597,scrapingbee_simulation,dry,adult,"salmon, chicken, wheat, rice, spinach, carrots, flaxseed oil, glucosamine, chondroitin","[""salmon"", ""chicken"", ""wheat"", ""rice"", ""spinach"", ""carrots"", ""flaxseed oil"", ""glucosamine"", ""chondroitin""]","[""chicken"", ""fish"", ""grain""]",18.6,10.9,2.7,8.5,9.0,333.8,15kg,21.94,1.46,budget,0.95,0.95,0.98,0.9,,
brit_008,Brit,brit,https://www.brit.com/products/8,Brit Sensitive Turkey Large Breed,2025-09-10T20:38:05.098614,scrapingbee_simulation,,all,"salmon, lamb meal, corn, oats, pumpkin, sweet potato, salmon oil, glucosamine, probiotics","[""salmon"", ""lamb meal"", ""corn"", ""oats"", ""pumpkin"", ""sweet potato"", ""salmon oil"", ""glucosamine"", ""probiotics""]","[""lamb"", ""fish"", ""grain""]",26.1,14.5,4.4,8.1,11.2,339.6,12kg,29.44,2.45,budget,0.0,0.95,0.98,0.9,True,Product
brit_009,Brit,brit,https://www.brit.com/products/9,Brit Grain-Free Duck Adult,2025-09-10T20:38:05.098630,scrapingbee_simulation,wet,adult,"beef, chicken meal, wheat, rice, spinach, peas, flaxseed oil, chondroitin, minerals","[""beef"", ""chicken meal"", ""wheat"", ""rice"", ""spinach"", ""peas"", ""flaxseed oil"", ""chondroitin"", ""minerals""]","[""chicken"", ""beef"", ""grain""]",,,,,,,10kg,22.24,2.22,budget,0.95,0.95,0.98,0.9,,
brit_010,Brit,brit,https://www.brit.com/products/10,Brit Premium Duck Senior,2025-09-10T20:38:05.098644,scrapingbee_simulation,dry,puppy,"salmon, chicken, rice, oats, spinach, sweet potato, sunflower oil, chondroitin, minerals","[""salmon"", ""chicken"", ""rice"", ""oats"", ""spinach"", ""sweet potato"", ""sunflower oil"", ""chondroitin"", ""minerals""]","[""chicken"", ""fish""]",21.5,18.6,2.9,8.3,10.9,365.7,10kg,23.25,2.33,budget,0.95,0.95,0.98,0.9,True,Product
