product_id,brand,brand_slug,product_name,url,form,life_stage,ingredients,price,source,form_source,life_stage_source,ingredients_source,ingredients_tokens,ingredients_tokens_source,allergen_groups,allergen_groups_source,protein_percent,protein_percent_source,fat_percent,fat_percent_source,fiber_percent,fiber_percent_source,ash_percent,ash_percent_source,moisture_percent,moisture_percent_source,kcal_per_100g,kcal_per_100g_source,pack_size,pack_size_source,price_source,price_per_kg,price_per_kg_source,price_bucket,price_bucket_source,form_confidence,form_confidence_source,life_stage_confidence,life_stage_confidence_source,enrichment_status,last_updated,production_allowlist
briantos_001,Briantos,briantos,Briantos Product 1,https://www.briantos.com/product/1,wet,senior,"chicken, turkey, corn, barley, sweet potato, carrots, sunflower oil, minerals, vitamins",20.13,catalog,manufacturer,manufacturer,manufacturer,"[""chicken"", ""turkey"", ""corn"", ""barley"", ""sweet potato"", ""carrots"", ""sunflower oil"", ""minerals"", ""vitamins""]",manufacturer,"[""chicken"", ""grain""]",manufacturer,28.3,manufacturer,15.4,manufacturer,2.0,manufacturer,6.9,manufacturer,9.0,manufacturer,364.4,manufacturer,2kg,manufacturer,manufacturer,10.06,manufacturer,mid,manufacturer,0.95,manufacturer,0.95,manufacturer,production,2025-09-10T20:58:34.309986,True
briantos_002,Briantos,briantos,Briantos Product 2,https://www.briantos.com/product/2,wet,puppy,"chicken meal, lamb meal, barley, rice, carrots, sweet potato, chicken fat, vitamins, chondroitin",29.77,catalog,manufacturer,manufacturer,manufacturer,"[""chicken meal"", ""lamb meal"", ""barley"", ""rice"", ""carrots"", ""sweet potato"", ""chicken fat"", ""vitamins"", ""chondroitin""]",manufacturer,"[""chicken"", ""lamb"", ""grain""]",manufacturer,19.6,manufacturer,17.0,manufacturer,3.3,manufacturer,6.1,manufacturer,11.9,manufacturer,360.5,manufacturer,10kg,manufacturer,manufacturer,2.98,manufacturer,budget,manufacturer,0.95,manufacturer,0.95,manufacturer,production,2025-09-10T20:58:34.309986,True
briantos_003,Briantos,briantos,Briantos Product 3,https://www.briantos.com/product/3,semi-moist,adult,"chicken, turkey, oats, corn, peas, spinach, chicken fat, glucosamine, probiotics",,catalog,manufacturer,manufacturer,manufacturer,"[""chicken"", ""turkey"", ""oats"", ""corn"", ""peas"", ""spinach"", ""chicken fat"", ""glucosamine"", ""probiotics""]",manufacturer,"[""chicken"", ""grain""]",manufacturer,25.6,manufacturer,13.7,manufacturer,4.2,manufacturer,6.4,manufacturer,10.1,manufacturer,346.1,manufacturer,2kg,manufacturer,,,,,,0.95,manufacturer,0.95,manufacturer,production,2025-09-10T20:58:34.309986,True
briantos_004,Briantos,briantos,Briantos Product 4,https://www.briantos.com/product/4,semi-moist,,"chicken, chicken meal, corn, rice, spinach, carrots, salmon oil, minerals, probiotics",25.9,catalog,manufacturer,,manufacturer,"[""chicken"", ""chicken meal"", ""corn"", ""rice"", ""spinach"", ""carrots"", ""salmon oil"", ""minerals"", ""probiotics""]",manufacturer,"[""chicken"", ""fish"", ""grain""]",manufacturer,24.1,manufacturer,10.7,manufacturer,2.8,manufacturer,8.0,manufacturer,10.9,manufacturer,327.6,manufacturer,1.5kg,manufacturer,manufacturer,17.27,manufacturer,mid,manufacturer,0.95,manufacturer,0.0,manufacturer,production,2025-09-10T20:58:34.309986,True
briantos_005,Briantos,briantos,Briantos Product 5,https://www.briantos.com/product/5,dry,all,"beef, lamb meal, wheat, barley, pumpkin, sweet potato, flaxseed oil, chondroitin, glucosamine",24.9,catalog,manufacturer,manufacturer,manufacturer,"[""beef"", ""lamb meal"", ""wheat"", ""barley"", ""pumpkin"", ""sweet potato"", ""flaxseed oil"", ""chondroitin"", ""glucosamine""]",manufacturer,"[""beef"", ""lamb"", ""grain""]",manufacturer,,,,,,,,,,,,,800g,manufacturer,manufacturer,31.12,manufacturer,premium,manufacturer,0.95,manufacturer,0.95,manufacturer,production,2025-09-10T20:58:34.309986,True
briantos_006,Briantos,briantos,Briantos Product 6,https://www.briantos.com/product/6,dry,all,"lamb meal, turkey, corn, rice, pumpkin, spinach, salmon oil, glucosamine, probiotics",23.27,catalog,manufacturer,manufacturer,manufacturer,"[""lamb meal"", ""turkey"", ""corn"", ""rice"", ""pumpkin"", ""spinach"", ""salmon oil"", ""glucosamine"", ""probiotics""]",manufacturer,"[""chicken"", ""lamb"", ""fish"", ""grain""]",manufacturer,20.2,manufacturer,11.3,manufacturer,4.9,manufacturer,8.3,manufacturer,8.6,manufacturer,330.2,manufacturer,10kg,manufacturer,manufacturer,2.33,manufacturer,budget,manufacturer,0.95,manufacturer,0.95,manufacturer,production,2025-09-10T20:58:34.309986,True
briantos_007,Briantos,briantos,Briantos Product 7,https://www.briantos.com/product/7,dry,adult,"chicken, salmon, barley, rice, sweet potato, peas, chicken fat, minerals, vitamins",,catalog,manufacturer,manufacturer,manufacturer,"[""chicken"", ""salmon"", ""barley"", ""rice"", ""sweet potato"", ""peas"", ""chicken fat"", ""minerals"", ""vitamins""]",manufacturer,"[""chicken"", ""fish"", ""grain""]",manufacturer,29.1,manufacturer,9.5,manufacturer,3.5,manufacturer,5.7,manufacturer,8.8,manufacturer,334.5,manufacturer,12kg,manufacturer,,,,,,0.95,manufacturer,0.95,manufacturer,production,2025-09-10T20:58:34.309986,True
briantos_008,Briantos,briantos,Briantos Product 8,https://www.briantos.com/product/8,wet,senior,"lamb meal, salmon, rice, barley, pumpkin, spinach, flaxseed oil, vitamins, probiotics",16.33,catalog,manufacturer,manufacturer,manufacturer,"[""lamb meal"", ""salmon"", ""rice"", ""barley"", ""pumpkin"", ""spinach"", ""flaxseed oil"", ""vitamins"", ""probiotics""]",manufacturer,"[""lamb"", ""fish"", ""grain""]",manufacturer,24.7,manufacturer,16.7,manufacturer,2.5,manufacturer,8.2,manufacturer,11.4,manufacturer,356.1,manufacturer,15kg,manufacturer,manufacturer,1.09,manufacturer,budget,manufacturer,0.95,manufacturer,0.95,manufacturer,production,2025-09-10T20:58:34.309986,True
briantos_009,Briantos,briantos,Briantos Product 9,https://www.briantos.com/product/9,dry,adult,"chicken meal, beef, corn, oats, carrots, pumpkin, chicken fat, chondroitin, vitamins",20.05,catalog,manufacturer,manufacturer,manufacturer,"[""chicken meal"", ""beef"", ""corn"", ""oats"", ""carrots"", ""pumpkin"", ""chicken fat"", ""chondroitin"", ""vitamins""]",manufacturer,"[""chicken"", ""beef"", ""grain""]",manufacturer,23.8,manufacturer,15.7,manufacturer,2.3,manufacturer,8.5,manufacturer,8.8,manufacturer,359.9,manufacturer,5kg,manufacturer,manufacturer,4.01,manufacturer,budget,manufacturer,0.95,manufacturer,0.95,manufacturer,production,2025-09-10T20:58:34.309986,True
briantos_010,Briantos,briantos,Briantos Product 10,https://www.briantos.com/product/10,dry,adult,"lamb meal, chicken, corn, barley, pumpkin, peas, salmon oil, glucosamine, chondroitin",25.23,catalog,manufacturer,manufacturer,manufacturer,"[""lamb meal"", ""chicken"", ""corn"", ""barley"", ""pumpkin"", ""peas"", ""salmon oil"", ""glucosamine"", ""chondroitin""]",manufacturer,"[""chicken"", ""lamb"", ""fish"", ""grain""]",manufacturer,27.6,manufacturer,8.0,manufacturer,3.0,manufacturer,9.0,manufacturer,11.6,manufacturer,307.4,manufacturer,800g,manufacturer,manufacturer,31.54,manufacturer,premium,manufacturer,0.95,manufacturer,0.95,manufacturer,production,2025-09-10T20:58:34.309986,True
