product_id,brand,brand_slug,url,product_name,harvested_at,method,form,life_stage,ingredients,ingredients_tokens,allergen_groups,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,kcal_per_100g,pack_size,price,price_per_kg,price_bucket,form_confidence,life_stage_confidence,ingredients_confidence,price_confidence,has_jsonld,jsonld_type,original_brand,original_product_name,product_key,name_slug
belcando_001,Belcando,belcando,https://www.belcando.com/products/1,Belcando Premium Lamb Large Breed,2025-09-10T20:38:05.110450,scrapingbee_simulation,dry,puppy,"salmon, chicken meal, corn, wheat, sweet potato, peas, flaxseed oil, glucosamine, minerals","[""salmon"", ""chicken meal"", ""corn"", ""wheat"", ""sweet potato"", ""peas"", ""flaxseed oil"", ""glucosamine"", ""minerals""]","[""chicken"", ""fish"", ""grain""]",28.4,19.5,4.1,8.5,11.7,362.4,2kg,53.95,26.98,premium,0.95,0.95,0.98,0.9,,,Belcando,Belcando Premium Lamb Large Breed,belcando|belcando_premium_lamb_large_breed|dry,belcando_premium_lamb_large_breed
belcando_002,Belcando,belcando,https://www.belcando.com/products/2,Belcando Active Venison Senior,2025-09-10T20:38:05.110474,scrapingbee_simulation,wet,all,"lamb meal, chicken, barley, corn, sweet potato, carrots, flaxseed oil, glucosamine, chondroitin","[""lamb meal"", ""chicken"", ""barley"", ""corn"", ""sweet potato"", ""carrots"", ""flaxseed oil"", ""glucosamine"", ""chondroitin""]","[""chicken"", ""lamb"", ""grain""]",23.7,19.5,5.2,6.9,9.8,370.8,400g,58.76,146.9,super_premium,0.95,0.95,0.98,0.9,,,Belcando,Belcando Active Venison Senior,belcando|belcando_active_venison_senior|wet,belcando_active_venison_senior
belcando_003,Belcando,belcando,https://www.belcando.com/products/3,Belcando Active Beef Puppy,2025-09-10T20:38:05.110492,scrapingbee_simulation,wet,adult,"lamb meal, chicken meal, corn, wheat, sweet potato, spinach, salmon oil, chondroitin, glucosamine","[""lamb meal"", ""chicken meal"", ""corn"", ""wheat"", ""sweet potato"", ""spinach"", ""salmon oil"", ""chondroitin"", ""glucosamine""]","[""chicken"", ""lamb"", ""fish"", ""grain""]",22.6,16.3,4.2,7.2,8.7,361.2,5kg,57.62,11.52,mid,0.95,0.95,0.98,0.9,,,Belcando,Belcando Active Beef Puppy,belcando|belcando_active_beef_puppy|wet,belcando_active_beef_puppy
belcando_004,Belcando,belcando,https://www.belcando.com/products/4,Belcando Sensitive Lamb Adult,2025-09-10T20:38:05.110508,scrapingbee_simulation,wet,puppy,"salmon, chicken, oats, barley, sweet potato, peas, sunflower oil, vitamins, glucosamine","[""salmon"", ""chicken"", ""oats"", ""barley"", ""sweet potato"", ""peas"", ""sunflower oil"", ""vitamins"", ""glucosamine""]","[""chicken"", ""fish"", ""grain""]",27.6,14.7,5.5,8.2,9.7,341.6,15kg,44.16,2.94,budget,0.95,0.95,0.98,0.9,True,Product,Belcando,Belcando Sensitive Lamb Adult,belcando|belcando_sensitive_lamb_adult|wet,belcando_sensitive_lamb_adult
belcando_005,Belcando,belcando,https://www.belcando.com/products/5,Belcando Light Venison Senior,2025-09-10T20:38:05.110524,scrapingbee_simulation,wet,all,"lamb meal, chicken, rice, corn, peas, sweet potato, chicken fat, glucosamine, chondroitin","[""lamb meal"", ""chicken"", ""rice"", ""corn"", ""peas"", ""sweet potato"", ""chicken fat"", ""glucosamine"", ""chondroitin""]","[""chicken"", ""lamb"", ""grain""]",28.0,18.8,2.9,6.1,11.4,372.6,12kg,51.19,4.27,budget,0.95,0.95,0.98,0.9,True,Product,Belcando,Belcando Light Venison Senior,belcando|belcando_light_venison_senior|wet,belcando_light_venison_senior
belcando_006,Belcando,belcando,https://www.belcando.com/products/6,Belcando Active Lamb Adult,2025-09-10T20:38:05.110540,scrapingbee_simulation,dry,adult,"beef, salmon, wheat, rice, carrots, peas, sunflower oil, vitamins, minerals","[""beef"", ""salmon"", ""wheat"", ""rice"", ""carrots"", ""peas"", ""sunflower oil"", ""vitamins"", ""minerals""]","[""beef"", ""fish"", ""grain""]",20.0,14.5,5.5,7.5,10.8,339.2,1.5kg,59.04,39.36,premium,0.95,0.95,0.98,0.9,True,Product,Belcando,Belcando Active Lamb Adult,belcando|belcando_active_lamb_adult|dry,belcando_active_lamb_adult
belcando_007,Belcando,belcando,https://www.belcando.com/products/7,Belcando Active Duck Senior,2025-09-10T20:38:05.110555,scrapingbee_simulation,dry,adult,"chicken meal, chicken, rice, wheat, peas, spinach, sunflower oil, vitamins, chondroitin","[""chicken meal"", ""chicken"", ""rice"", ""wheat"", ""peas"", ""spinach"", ""sunflower oil"", ""vitamins"", ""chondroitin""]","[""chicken"", ""grain""]",22.5,16.6,5.2,5.3,11.7,355.3,1.5kg,33.75,22.5,premium,0.95,0.95,0.98,0.9,True,Product,Belcando,Belcando Active Duck Senior,belcando|belcando_active_duck_senior|dry,belcando_active_duck_senior
belcando_008,Belcando,belcando,https://www.belcando.com/products/8,Belcando High-Protein Lamb Puppy,2025-09-10T20:38:05.110570,scrapingbee_simulation,,adult,"chicken, beef, corn, barley, spinach, carrots, salmon oil, vitamins, chondroitin","[""chicken"", ""beef"", ""corn"", ""barley"", ""spinach"", ""carrots"", ""salmon oil"", ""vitamins"", ""chondroitin""]","[""chicken"", ""beef"", ""fish"", ""grain""]",25.4,15.4,2.6,8.7,9.6,353.8,5kg,45.35,9.07,economy,0.0,0.95,0.98,0.9,True,Product,Belcando,Belcando High-Protein Lamb Puppy,belcando|belcando_high_protein_lamb_puppy|nan,belcando_high_protein_lamb_puppy
belcando_009,Belcando,belcando,https://www.belcando.com/products/9,Belcando Sensitive Turkey Puppy,2025-09-10T20:38:05.110585,scrapingbee_simulation,wet,puppy,"chicken meal, turkey, corn, oats, peas, sweet potato, salmon oil, glucosamine, chondroitin","[""chicken meal"", ""turkey"", ""corn"", ""oats"", ""peas"", ""sweet potato"", ""salmon oil"", ""glucosamine"", ""chondroitin""]","[""chicken"", ""fish"", ""grain""]",21.2,15.8,5.3,5.8,10.8,352.4,15kg,,,,0.95,0.95,0.98,0.0,True,Product,Belcando,Belcando Sensitive Turkey Puppy,belcando|belcando_sensitive_turkey_puppy|wet,belcando_sensitive_turkey_puppy
belcando_010,Belcando,belcando,https://www.belcando.com/products/10,Belcando High-Protein Salmon Adult,2025-09-10T20:38:05.110599,scrapingbee_simulation,wet,adult,"beef, chicken, rice, oats, peas, sweet potato, flaxseed oil, probiotics, chondroitin","[""beef"", ""chicken"", ""rice"", ""oats"", ""peas"", ""sweet potato"", ""flaxseed oil"", ""probiotics"", ""chondroitin""]","[""chicken"", ""beef""]",22.4,14.2,2.4,8.0,11.1,345.7,800g,37.29,46.61,super_premium,0.95,0.95,0.98,0.9,,,Belcando,Belcando High-Protein Salmon Adult,belcando|belcando_high_protein_salmon_adult|wet,belcando_high_protein_salmon_adult
belcando_011,Belcando,belcando,https://www.belcando.com/products/11,Belcando Sensitive Turkey Senior,2025-09-10T20:38:05.110615,scrapingbee_simulation,wet,puppy,"lamb meal, beef, wheat, rice, spinach, carrots, salmon oil, minerals, chondroitin","[""lamb meal"", ""beef"", ""wheat"", ""rice"", ""spinach"", ""carrots"", ""salmon oil"", ""minerals"", ""chondroitin""]","[""beef"", ""lamb"", ""fish"", ""grain""]",26.7,18.3,5.0,8.9,11.1,354.0,1.5kg,45.68,30.45,premium,0.95,0.95,0.98,0.9,True,Product,Belcando,Belcando Sensitive Turkey Senior,belcando|belcando_sensitive_turkey_senior|wet,belcando_sensitive_turkey_senior
belcando_012,Belcando,belcando,https://www.belcando.com/products/12,Belcando Natural Beef Puppy,2025-09-10T20:38:05.110630,scrapingbee_simulation,dry,puppy,"lamb meal, salmon, barley, rice, peas, sweet potato, chicken fat, vitamins, minerals","[""lamb meal"", ""salmon"", ""barley"", ""rice"", ""peas"", ""sweet potato"", ""chicken fat"", ""vitamins"", ""minerals""]","[""chicken"", ""lamb"", ""fish"", ""grain""]",25.7,8.0,3.8,5.0,8.9,328.0,2kg,57.6,28.8,premium,0.95,0.95,0.98,0.9,True,Product,Belcando,Belcando Natural Beef Puppy,belcando|belcando_natural_beef_puppy|dry,belcando_natural_beef_puppy
belcando_013,Belcando,belcando,https://www.belcando.com/products/13,Belcando Sensitive Beef Small Breed,2025-09-10T20:38:05.110645,scrapingbee_simulation,wet,puppy,"chicken meal, lamb meal, corn, barley, peas, pumpkin, chicken fat, chondroitin, probiotics","[""chicken meal"", ""lamb meal"", ""corn"", ""barley"", ""peas"", ""pumpkin"", ""chicken fat"", ""chondroitin"", ""probiotics""]","[""chicken"", ""lamb"", ""grain""]",20.8,8.0,2.5,8.6,9.1,319.3,800g,53.52,66.9,super_premium,0.95,0.95,0.98,0.9,True,Product,Belcando,Belcando Sensitive Beef Small Breed,belcando|belcando_sensitive_beef_small_breed|wet,belcando_sensitive_beef_small_breed
belcando_014,Belcando,belcando,https://www.belcando.com/products/14,Belcando Light Chicken Adult,2025-09-10T20:38:05.110661,scrapingbee_simulation,dry,adult,"chicken, salmon, rice, oats, pumpkin, spinach, chicken fat, minerals, vitamins","[""chicken"", ""salmon"", ""rice"", ""oats"", ""pumpkin"", ""spinach"", ""chicken fat"", ""minerals"", ""vitamins""]","[""chicken"", ""fish""]",21.3,17.0,3.9,6.3,10.3,363.2,800g,35.81,44.76,super_premium,0.95,0.95,0.98,0.9,,,Belcando,Belcando Light Chicken Adult,belcando|belcando_light_chicken_adult|dry,belcando_light_chicken_adult
belcando_015,Belcando,belcando,https://www.belcando.com/products/15,Belcando Active Lamb Adult,2025-09-10T20:38:05.110676,scrapingbee_simulation,dry,all,"chicken meal, beef, corn, rice, carrots, spinach, chicken fat, probiotics, minerals","[""chicken meal"", ""beef"", ""corn"", ""rice"", ""carrots"", ""spinach"", ""chicken fat"", ""probiotics"", ""minerals""]","[""chicken"", ""beef"", ""grain""]",23.2,9.9,3.7,7.3,9.2,328.8,400g,48.14,120.35,super_premium,0.95,0.95,0.98,0.9,,,Belcando,Belcando Active Lamb Adult,belcando|belcando_active_lamb_adult|dry,belcando_active_lamb_adult
belcando_016,Belcando,belcando,https://www.belcando.com/products/16,Belcando Active Duck Puppy,2025-09-10T20:38:05.110692,scrapingbee_simulation,dry,all,"salmon, chicken meal, barley, oats, peas, pumpkin, chicken fat, minerals, vitamins","[""salmon"", ""chicken meal"", ""barley"", ""oats"", ""peas"", ""pumpkin"", ""chicken fat"", ""minerals"", ""vitamins""]","[""chicken"", ""fish"", ""grain""]",29.0,12.8,2.1,8.5,8.9,345.8,1.5kg,53.07,35.38,premium,0.95,0.95,0.98,0.9,,,Belcando,Belcando Active Duck Puppy,belcando|belcando_active_duck_puppy|dry,belcando_active_duck_puppy
belcando_017,Belcando,belcando,https://www.belcando.com/products/17,Belcando Premium Beef Large Breed,2025-09-10T20:38:05.110706,scrapingbee_simulation,wet,,"chicken meal, salmon, oats, wheat, carrots, spinach, salmon oil, minerals, chondroitin","[""chicken meal"", ""salmon"", ""oats"", ""wheat"", ""carrots"", ""spinach"", ""salmon oil"", ""minerals"", ""chondroitin""]","[""chicken"", ""fish"", ""grain""]",19.5,10.5,3.9,8.4,11.4,319.5,12kg,54.16,4.51,budget,0.95,0.0,0.98,0.9,True,Product,Belcando,Belcando Premium Beef Large Breed,belcando|belcando_premium_beef_large_breed|wet,belcando_premium_beef_large_breed
belcando_018,Belcando,belcando,https://www.belcando.com/products/18,Belcando Natural Duck Small Breed,2025-09-10T20:38:05.110721,scrapingbee_simulation,wet,adult,"turkey, beef, wheat, rice, peas, pumpkin, flaxseed oil, minerals, chondroitin","[""turkey"", ""beef"", ""wheat"", ""rice"", ""peas"", ""pumpkin"", ""flaxseed oil"", ""minerals"", ""chondroitin""]","[""chicken"", ""beef"", ""grain""]",24.4,14.7,5.8,7.2,8.1,349.6,400g,,,,0.95,0.95,0.98,0.0,,,Belcando,Belcando Natural Duck Small Breed,belcando|belcando_natural_duck_small_breed|wet,belcando_natural_duck_small_breed
belcando_019,Belcando,belcando,https://www.belcando.com/products/19,Belcando High-Protein Chicken Puppy,2025-09-10T20:38:05.110735,scrapingbee_simulation,dry,all,"chicken meal, chicken, rice, barley, peas, spinach, flaxseed oil, probiotics, glucosamine","[""chicken meal"", ""chicken"", ""rice"", ""barley"", ""peas"", ""spinach"", ""flaxseed oil"", ""probiotics"", ""glucosamine""]","[""chicken"", ""grain""]",20.9,18.5,4.1,6.7,10.6,367.6,12kg,50.29,4.19,budget,0.95,0.95,0.98,0.9,,,Belcando,Belcando High-Protein Chicken Puppy,belcando|belcando_high_protein_chicken_puppy|dry,belcando_high_protein_chicken_puppy
belcando_020,Belcando,belcando,https://www.belcando.com/products/20,Belcando Active Beef Puppy,2025-09-10T20:38:05.110750,scrapingbee_simulation,wet,adult,"beef, salmon, corn, rice, pumpkin, spinach, flaxseed oil, vitamins, chondroitin","[""beef"", ""salmon"", ""corn"", ""rice"", ""pumpkin"", ""spinach"", ""flaxseed oil"", ""vitamins"", ""chondroitin""]","[""beef"", ""fish"", ""grain""]",24.3,16.5,5.8,7.7,9.0,353.8,400g,53.9,134.75,super_premium,0.95,0.95,0.98,0.9,,,Belcando,Belcando Active Beef Puppy,belcando|belcando_active_beef_puppy|wet,belcando_active_beef_puppy
belcando_021,Belcando,belcando,https://www.belcando.com/products/21,Belcando High-Protein Chicken Adult,2025-09-10T20:38:05.110765,scrapingbee_simulation,dry,all,"beef, chicken meal, barley, wheat, carrots, peas, sunflower oil, probiotics, minerals","[""beef"", ""chicken meal"", ""barley"", ""wheat"", ""carrots"", ""peas"", ""sunflower oil"", ""probiotics"", ""minerals""]","[""chicken"", ""beef"", ""grain""]",31.2,10.1,3.2,6.3,11.1,328.4,10kg,47.5,4.75,budget,0.95,0.95,0.98,0.9,,,Belcando,Belcando High-Protein Chicken Adult,belcando|belcando_high_protein_chicken_adult|dry,belcando_high_protein_chicken_adult
